买入日,代码,名称,评级,买入价,卖出日,卖出价,收益%,持仓天数
2023-11-17,603595,东尼电子,B,38.46,2023-11-24,37.61,-2.3%,6
2023-12-01,300973,立高食品,B,52.82,2023-12-08,47.63,-9.9%,6
2023-12-12,300927,江天化学,B,16.69,2023-12-19,16.51,-1.1%,6
2023-12-20,600173,卧龙新能,B,5.07,2023-12-27,4.79,-5.7%,6
2023-12-29,000922,佳电股份,D,8.09,2024-01-03,8.60,6.3%,3
2024-01-24,000554,泰山石油,C,5.91,2024-01-26,6.05,2.3%,2
2024-01-26,300675,建科院,D,14.77,2024-01-30,13.65,-7.7%,3
2024-01-31,002991,甘源食品,A,62.86,2024-02-07,65.45,4.1%,6
2024-02-08,300811,铂科新材,B,24.60,2024-02-19,26.68,8.4%,2
2024-03-12,600557,康缘药业,B,20.58,2024-03-15,21.70,5.4%,4
2024-03-26,000680,山推股份,B,6.38,2024-03-27,6.96,9.0%,2
2024-03-28,002847,盐津铺子,B,50.77,2024-04-08,49.37,-2.8%,6
2024-04-09,688110,东芯股份,A,22.49,2024-04-16,19.06,-15.3%,6
2024-04-17,605507,国邦医药,D,10.36,2024-04-18,10.78,4.0%,1
2024-04-18,000990,诚志股份,A,7.37,2024-04-25,7.36,-0.1%,6
2024-04-26,688408,中信博,A,62.63,2024-04-29,68.84,9.8%,2
2024-04-30,002661,克明食品,A,7.10,2024-05-09,7.84,10.3%,5
2024-05-20,300545,联得装备,A,23.38,2024-05-27,23.87,2.0%,6
2024-05-28,300726,宏达电子,C,21.71,2024-05-31,22.84,5.1%,4
2024-06-03,603966,法兰泰克,B,6.00,2024-06-11,5.31,-11.6%,6
2024-06-12,002983,芯瑞达,B,17.06,2024-06-19,17.17,0.6%,6
2024-07-01,603283,赛腾股份,D,41.52,2024-07-08,37.06,-10.8%,6
2024-07-09,688273,麦澜德,D,17.20,2024-07-11,18.50,7.4%,3
2024-07-23,300377,赢时胜,D,5.20,2024-07-25,5.91,13.6%,3
2024-07-29,301219,腾远钴业,C,28.18,2024-08-02,27.65,-2.0%,5
2024-08-06,002738,中矿资源,A,25.78,2024-08-13,25.89,0.4%,6
2024-08-14,300880,迦南智能,B,18.70,2024-08-21,17.39,-7.1%,6
2024-08-22,002303,美盈森,B,2.08,2024-08-23,1.98,-5.0%,1
2024-08-23,688278,特宝生物,A,53.72,2024-08-30,54.55,1.5%,6
2024-09-02,002946,新乳业,A,8.47,2024-09-09,8.71,2.7%,6
2024-09-20,300232,洲明科技,D,4.91,2024-09-25,5.18,5.3%,4
2024-09-27,300503,昊志机电,C,12.39,2024-09-30,14.93,20.4%,2
2024-10-10,603091,众鑫股份,D,36.50,2024-10-17,32.55,-10.9%,6
2024-10-18,002766,索菱股份,C,5.51,2024-10-23,6.55,18.8%,4
2024-10-24,002991,甘源食品,B,66.96,2024-10-29,66.91,-0.2%,3
2024-10-29,603057,紫燕食品,C,16.49,2024-11-05,16.56,0.4%,6
2024-11-08,601069,西部黄金,C,12.68,2024-11-15,12.09,-4.7%,6
2024-11-19,000591,太阳能,D,4.92,2024-11-26,4.72,-4.1%,6
2024-11-29,688596,正帆科技,A,37.71,2024-12-06,38.81,2.9%,6
2024-12-23,002996,顺博合金,D,6.65,2024-12-30,6.63,-0.4%,6
2025-01-03,002661,克明食品,A,9.66,2025-01-10,9.17,-5.1%,6
2025-01-15,301345,涛涛车业,C,57.83,2025-01-16,61.77,6.7%,2
2025-01-17,300857,协创数据,B,51.68,2025-01-21,54.25,4.9%,3
2025-01-23,002780,三夫户外,C,12.30,2025-02-07,11.24,-8.7%,6
2025-02-10,603798,康普顿,D,8.91,2025-02-17,9.19,3.1%,6
2025-02-18,002020,京新药业,C,11.40,2025-02-21,11.98,5.0%,4
2025-02-24,001337,四川黄金,D,20.70,2025-03-03,20.57,-0.7%,6
2025-03-04,002365,永安药业,D,8.13,2025-03-11,8.09,-0.6%,6
2025-03-13,002056,横店东磁,B,13.57,2025-03-17,14.37,5.8%,3
2025-03-18,001914,招商积余,C,11.58,2025-03-25,11.91,2.8%,6
2025-03-26,301101,明月镜片,D,49.55,2025-03-31,52.68,6.3%,4
2025-04-01,003028,振邦智能,C,35.78,2025-04-07,31.70,-11.5%,4
2025-04-08,600729,重庆百货,C,27.69,2025-04-09,31.37,13.2%,2
2025-04-10,600096,云天化,C,19.62,2025-04-17,19.27,-1.9%,6
2025-04-18,603456,九洲药业,B,12.68,2025-04-24,13.31,4.9%,5
2025-04-25,301061,匠心家居,A,39.42,2025-05-07,43.05,9.1%,6
2025-05-08,002034,旺能环境,C,17.24,2025-05-15,17.37,0.7%,6
2025-05-20,301043,绿岛风,B,29.28,2025-05-27,28.00,-4.5%,6
2025-05-30,688636,智明达,C,27.73,2025-06-06,29.62,6.7%,5
2025-06-10,601908,京运通,A,3.23,2025-06-17,3.13,-3.3%,6
2025-06-24,000838,财信发展,C,2.58,2025-07-01,2.58,-0.2%,6
2025-07-02,002793,罗欣药业,D,4.84,2025-07-09,4.83,-0.4%,6
2025-07-15,603109,神驰机电,C,25.49,2025-07-16,28.92,13.4%,2
2025-07-17,688619,罗普特,D,12.65,2025-07-18,13.97,10.4%,2
2025-07-21,300772,运达股份,A,12.76,2025-07-28,13.06,2.3%,6
2025-07-31,301235,华康洁净,D,32.15,2025-08-07,31.10,-3.3%,6
2025-08-08,603508,思维列控,B,30.74,2025-08-15,31.39,2.1%,6
2025-08-18,688486,龙迅股份,B,47.04,2025-08-20,53.30,13.2%,3
2025-08-21,600660,福耀玻璃,B,60.54,2025-08-28,62.31,2.9%,6
