买入日,代码,名称,买入价,卖出日,卖出价,收益%,持仓天数
20251028,301283,聚胶股份,32.62,20251105,30.35,-6.9%,8
20251028,301349,信德新材,31.71,20251119,40.01,26.2%,22
20251028,301606,绿联科技,67.27,20251113,60.80,-9.6%,16
20251028,300163,先锋新材,4.17,20251119,4.73,13.4%,22
20251028,002787,华源控股,10.71,20251124,9.99,-6.7%,27
20251029,300619,金银河,44.80,20251125,41.29,-7.8%,27
20251029,603556,海兴电力,32.88,20251119,35.20,7.1%,21
20251029,605208,永茂泰,16.08,20251105,14.86,-7.6%,7
20251029,688312,燕麦科技,32.92,20251110,30.81,-6.4%,12
20251029,002593,日上集团,5.74,20251119,6.07,5.8%,21
20251029,000421,南京公用,7.44,20251212,6.76,-9.1%,44
20251029,300206,理邦仪器,13.49,20251212,12.48,-7.5%,44
20251029,300358,楚天科技,11.23,20251119,9.68,-13.8%,21
20251030,002452,长高电气,8.27,20260324,10.60,28.2%,145
20251030,300964,本川智能,37.92,20251113,39.85,5.1%,14
20251030,001319,铭科精技,27.02,20251212,24.81,-8.2%,43
20251030,002016,世荣兆业,6.63,20251212,6.04,-8.9%,43
20251030,301333,诺思格,63.15,20251119,58.38,-7.6%,20
20251030,688410,山外山,16.50,20251125,15.20,-7.9%,26
20251030,603739,蔚蓝生物,15.01,20251229,13.96,-7.0%,60
20251031,605305,中际联合,44.15,20251119,40.95,-7.3%,19
20251031,002430,杭氧股份,29.10,20251103,27.02,-7.2%,3
20251031,600100,同方股份,8.56,20260121,9.27,8.3%,82
20251031,002950,奥美医疗,10.90,20251119,11.66,7.0%,19
20251031,600292,电投水电,13.67,20251113,14.16,3.6%,13
20251031,603282,亚光股份,20.37,20251212,18.54,-9.0%,42
20251031,002975,博杰股份,53.83,20251119,56.01,4.1%,19
20251031,002314,南山控股,3.23,20251212,2.91,-9.9%,42
20251031,002612,朗姿股份,17.70,20251124,19.35,9.3%,24
20251031,601872,招商轮船,9.30,20251105,8.39,-9.8%,5
20251031,300207,欣旺达,36.49,20251110,33.88,-7.2%,10
20251031,688160,步科股份,99.99,20251110,91.79,-8.2%,10
20251031,688095,福昕软件,88.42,20251106,100.90,14.1%,6
20251103,600326,西藏天路,12.75,20251119,11.44,-10.3%,16
20251103,600666,奥瑞德,3.60,20251212,3.31,-8.1%,39
20251103,603876,鼎胜新材,12.93,20251124,12.94,0.1%,21
20251103,603190,亚通精工,25.14,20260127,27.73,10.3%,85
20251103,001330,博纳影业,7.01,20251217,9.83,40.2%,44
20251103,603489,八方股份,27.82,20251113,29.99,7.8%,10
20251103,601019,山东出版,8.25,20260324,8.28,0.4%,141
20251103,603697,有友食品,13.17,20251124,11.84,-10.1%,21
20251103,600469,风神股份,6.80,20260109,6.46,-5.0%,67
20251103,002636,金安国纪,15.73,20251113,17.04,8.3%,10
20251103,600067,冠城新材,3.95,20251106,4.08,3.3%,3
20260327,001367,海森药业,23.83,20260507,23.32,-2.1%,41
20260330,300054,鼎龙股份,52.17,20260401,48.60,-6.8%,2
20260331,002532,天山铝业,17.73,20260430,16.39,-7.6%,30
20260331,000807,云铝股份,30.62,20260427,33.05,7.9%,27
20260401,600066,宇通客车,34.89,20260430,33.41,-4.2%,29
20260401,603039,泛微网络,36.81,20260603,39.81,8.1%,63
20260401,600894,广日股份,9.18,20260511,8.84,-3.7%,40
20260402,601579,会稽山,18.10,20260506,17.51,-3.3%,34
20260409,000551,创元科技,14.12,20260528,16.32,15.6%,49
20260409,601069,西部黄金,33.15,20260519,28.68,-13.5%,40
20260413,603889,新澳股份,6.65,20260506,6.21,-6.7%,23
20260413,605117,德业股份,98.43,20260602,111.10,12.9%,50
20260414,002439,启明星辰,14.50,20260522,15.30,5.5%,38
20260421,000404,长虹华意,7.48,20260429,7.97,6.6%,8
20260421,003006,百亚股份,18.44,20260511,17.36,-5.9%,20
20260421,603332,苏州龙杰,14.27,20260522,13.32,-6.7%,31
20260421,603699,纽威股份,58.00,20260508,63.23,9.0%,17
20260421,600872,中炬高新,21.60,20260519,20.00,-7.4%,28
20260421,603025,大豪科技,16.60,20260603,15.52,-6.5%,43
20260422,000690,宝新能源,5.05,20260602,5.89,16.6%,41
20260422,603788,宁波高发,16.87,20260511,16.17,-4.2%,19
20260422,300801,泰和科技,31.24,20260525,29.13,-6.8%,33
20260423,601061,中信金属,14.78,20260430,13.86,-6.2%,7
20260423,603606,东方电缆,55.53,20260430,51.34,-7.6%,7
20260423,002588,史丹利,11.55,20260430,10.67,-7.6%,7
20260424,300590,移为通信,14.34,20260528,15.34,7.0%,34
20260424,002793,罗欣药业,5.60,20260519,4.68,-16.4%,25
20260424,601101,昊华能源,9.30,20260507,10.69,15.0%,13
20260424,003022,联泓新科,24.85,20260609,23.98,-3.5%,46
20260424,001314,亿道信息,49.19,20260603,57.42,16.7%,40
20260424,603390,通达电气,13.63,20260602,12.61,-7.5%,39
20260424,300106,西部牧业,10.61,20260609,12.40,16.9%,46
20260424,300895,铜牛信息,67.33,20260429,63.12,-6.3%,5
20260424,300061,旗天科技,9.97,20260602,9.02,-9.5%,39
20260424,603198,迎驾贡酒,37.50,20260513,33.91,-9.6%,19
20260427,603066,音飞储存,11.26,20260609,10.47,-7.0%,43
20260427,300575,中旗股份,6.69,20260528,6.23,-6.9%,31
20260427,600499,科达制造,19.91,20260507,18.74,-5.9%,10
20260427,603967,中创物流,14.08,20260429,13.20,-6.3%,2
20260427,300434,金石亚药,11.79,20260513,11.24,-4.7%,16
20260427,300422,博世科,5.57,20260609,5.08,-8.8%,43
20260428,688184,ST帕瓦,12.62,20260513,13.79,9.3%,15
20260428,002154,报,喜,鸟,3.77,20260528%,4.04
20260428,603125,常青科技,22.18,20260528,25.21,13.7%,30
20260428,002902,铭普光磁,29.65,20260522,35.95,21.3%,24
20260428,001332,锡装股份,44.60,20260609,43.16,-3.2%,42
20260428,002120,韵达股份,8.01,20260513,7.50,-6.4%,15
20260428,000565,渝三峡Ａ,8.14,20260525,7.50,-7.9%,27
20260428,603579,荣泰健康,21.83,20260522,20.60,-5.6%,24
20260428,605138,盛泰集团,7.38,20260528,6.95,-5.8%,30
20260428,300591,万里马,7.79,20260612,7.08,-9.1%,45
20260428,301500,飞南资源,31.51,20260429,29.55,-6.2%,1
20260428,300582,英飞特,15.70,20260522,16.65,6.1%,24
20260428,688221,前沿生物,22.80,20260429,21.10,-7.5%,1
20260429,601789,宁波建工,5.99,20260525,5.52,-7.9%,26
20260429,301012,扬电科技,36.86,20260525,37.88,2.8%,26
20260429,002923,润都股份,13.52,20260513,12.70,-6.1%,14
20260429,603338,浙江鼎力,56.75,20260519,52.74,-7.1%,20
20260429,001298,好上好,22.94,20260609,20.48,-10.7%,41
20260429,603317,天味食品,15.35,20260603,14.12,-8.0%,35
20260429,601177,杭齿前进,16.22,20260603,15.86,-2.2%,35
20260429,002575,群兴玩具,6.63,20260519,6.98,5.3%,20
20260429,300596,利安隆,44.20,20260609,37.21,-15.8%,41
20260429,300187,永清环保,6.00,20260430,5.59,-6.8%,1
20260429,603283,赛腾股份,40.49,20260602,48.21,19.1%,34
20260430,603013,亚普股份,20.25,20260603,18.85,-6.9%,34
20260430,600606,绿地控股,1.47,20260602,1.48,0.7%,33
20260430,002079,苏州固锝,11.88,20260602,12.05,1.4%,33
20260430,000551,创元科技,15.92,20260602,15.45,-3.0%,33
20260430,000567,海德股份,6.26,20260609,5.51,-12.0%,40
20260430,002818,富森美,12.10,20260513,11.47,-5.2%,13
20260430,603803,瑞斯康达,15.20,20260519,15.87,4.4%,19
20260430,000818,航锦科技,16.00,20260519,16.51,3.2%,19
20260430,605099,共创草坪,44.07,20260519,44.11,0.1%,19
20260430,600111,北方稀土,51.75,20260602,48.44,-6.4%,33
20260430,603508,思维列控,25.66,20260525,23.76,-7.4%,25
20260430,002832,比音勒芬,19.36,20260624,20.76,7.2%,55
20260430,601233,桐昆股份,22.81,20260513,21.50,-5.7%,13
20260430,002111,威海广泰,10.70,20260609,9.59,-10.4%,40
20260430,002867,周大生,13.54,20260513,12.95,-4.4%,13
20260430,002174,游族网络,10.17,20260525,11.94,17.4%,25
20260430,002786,银宝山新,7.88,20260602,8.15,3.4%,33
20260430,000980,众泰汽车,2.32,20260602,2.63,13.4%,33
20260430,301060,兰卫医学,10.34,20260602,9.20,-11.0%,33
20260430,300745,欣锐科技,34.80,20260602,43.50,25.0%,33
20260430,002847,盐津铺子,60.00,20260506,56.50,-5.8%,6
20260506,688159,有方科技,47.76,20260522,55.57,16.4%,16
20260506,601086,国芳集团,8.81,20260522,8.01,-9.1%,16
20260506,002645,华宏科技,21.58,20260519,22.73,5.3%,13
20260506,603119,浙江荣泰,63.48,20260528,69.97,10.2%,22
20260506,002591,恒大高新,8.27,20260609,7.41,-10.4%,34
20260506,603190,亚通精工,28.86,20260528,26.66,-7.6%,22
20260506,600158,中体产业,11.85,20260519,11.92,0.6%,13
20260506,000783,长江证券,7.81,20260609,7.08,-9.4%,34
20260506,002763,汇洁股份,8.85,20260507,8.36,-5.5%,1
20260506,600540,新赛股份,5.59,20260522,5.05,-9.7%,16
20260506,000790,华神科技,4.57,20260525,4.29,-6.1%,19
